pearson_estimate	pearson_pval	is_in_Ace1
Sig_kmer0328	0.759092204131238	0.0000000000000170831443325725	TRUE
Sig_kmer0330	0.770705366691031	0.00000000000000384239914645174	TRUE
Sig_kmer0331	0.825782432085101	0.000000000000000000792374809247712	TRUE
Sig_kmer0334	0.73750672227145	0.000000000000221425391968435	TRUE
Sig_kmer0335	0.63415040830751	0.00000000290128766523252	TRUE
Sig_kmer0336	0.827650764493401	0.00000000000000000056462970110442	TRUE
Sig_kmer0339	0.435977625675747	0.000144458515221782	TRUE
Sig_kmer0340	0.798217060419632	0.0000000000000000769075541638368	TRUE
Sig_kmer0341	0.636407688211204	0.00000000244960519568025	TRUE
Sig_kmer0346	0.862851754416652	0.000000000000000000000395499402874618	TRUE
Sig_kmer0347	0.686763796584731	0.0000000000378861977269984	TRUE
Sig_kmer0354	0.793769262989775	0.000000000000000150613752346504	TRUE
Sig_kmer0359	0.78841159734185	0.000000000000000331235383666625	TRUE
Sig_kmer0360	0.869281105860435	0.0000000000000000000000843865104696092	TRUE
Sig_kmer0365	0.590402616635252	0.0000000598867286412734	TRUE
Sig_kmer0367	0.670719612730046	0.000000000156100895742775	TRUE
Sig_kmer0370	0.545225110611188	0.000000881283490639133	TRUE
Sig_kmer0376	0.89366273166814	0.000000000000000000000000103712159070522	TRUE
Sig_kmer0380	0.836709790610094	0.000000000000000000102874474866308	TRUE
Sig_kmer0381	0.860751951378698	0.000000000000000000000644060978033093	TRUE
Sig_kmer0382	0.849777592709616	0.00000000000000000000728255958497529	TRUE
Sig_kmer0386	0.815449398364167	0.00000000000000000481338856083452	TRUE
Sig_kmer0388	0.820196772329529	0.0000000000000000021315321092126	TRUE
Sig_kmer0391	0.799492593280239	0.0000000000000000632288772188278	TRUE
Sig_kmer0392	0.678203037050465	0.0000000000815417511923533	TRUE
Sig_kmer0394	0.865159583361038	0.000000000000000000000229249491984973	TRUE
Sig_kmer0396	0.845613334929666	0.0000000000000000000173883136361488	TRUE
Sig_kmer0398	0.825589605906602	0.000000000000000000820389132446796	TRUE
Sig_kmer0399	0.79282274014034	0.000000000000000173405170259202	TRUE
Sig_kmer0409	0.797002285030096	0.0000000000000000925568014736653	TRUE
Sig_kmer0413	0.683949277395651	0.0000000000488843879552294	TRUE
Sig_kmer0419	0.753526862015347	0.0000000000000339103287697107	TRUE
Sig_kmer0423	0.689034200244143	0.0000000000307811180416903	TRUE
Sig_kmer0424	0.765976910198225	0.00000000000000712730431670273	TRUE
