ox_code	p2_dtc_prediction	p2_rfc_prediction	p2_umap_0	p2_umap_1
AB0151-Cb	0	0	inf	inf
AB0153-Ca	0	0	-4.408638954162598	15.792049407958984
AB0153-Cb	0	0	-6.404184341430664	16.116361618041992
AB0155-Ca	0	0	inf	inf
AB0155-Cb	0	0	inf	inf
AB0157-Ca	1	1	17.75400161743164	26.972166061401367
AB0157-Cb	1	1	17.08500862121582	27.858476638793945
AB0158-Ca	1	1	12.559412002563477	23.661237716674805
AB0158-Cb	1	1	4.900720119476318	13.909648895263672
AB0159-Ca	0	0	-3.5658063888549805	10.37430477142334
AB0159-Cb	0	0	-3.402332067489624	13.391785621643066
AB0160-Ca	1	1	12.042281150817871	10.407941818237305
AB0160-Cb	0	0	-3.52968168258667	10.560969352722168
AB0161-Ca	0	0	inf	inf
AB0161-Cb	0	0	inf	inf
AB0162-Ca	0	0	inf	inf
AB0162-Cb	0	0	inf	inf
AB0164-Ca	0	0	inf	inf
AB0164-Cb	0	0	inf	inf
AB0165-Ca	0	0	inf	inf
AB0165-Cb	0	0	inf	inf
AB0166-Ca	0	0	inf	inf
AB0166-Cb	0	0	inf	inf
AB0167-Ca	0	0	inf	inf
AB0167-Cb	0	0	inf	inf
AB0169-Ca	0	0	inf	inf
AB0169-Cb	0	0	inf	inf
AB0170-Ca	0	0	-5.423672199249268	11.945512771606445
AB0170-Cb	0	0	3.7771482467651367	14.922686576843262
AB0171-Ca	0	0	inf	inf
AB0171-Cb	0	0	inf	inf
AB0172-Ca	0	0	inf	inf
AB0172-Cb	0	0	inf	inf
AB0173-Ca	0	0	inf	inf
AB0173-Cb	0	0	inf	inf
AB0174-Ca	0	0	inf	inf
AB0174-Cb	0	0	inf	inf
AB0175-Ca	0	0	inf	inf
AB0175-Cb	0	0	inf	inf
AB0176-Ca	0	0	inf	inf
AB0176-Cb	0	0	inf	inf
AB0177-Ca	0	0	inf	inf
AB0177-Cb	0	0	inf	inf
AB0178-Ca	0	0	inf	inf
AB0178-Cb	0	0	inf	inf
AB0179-Ca	0	0	inf	inf
AB0179-Cb	0	0	inf	inf
AB0181-Ca	0	0	inf	inf
AB0181-Cb	0	0	inf	inf
AB0182-Ca	0	0	inf	inf
AB0182-Cb	0	0	inf	inf
AB0183-Ca	0	0	inf	inf
AB0183-Cb	0	0	inf	inf
AB0184-Ca	0	0	inf	inf
AB0184-Cb	0	0	inf	inf
AB0185-Ca	0	0	inf	inf
AB0185-Cb	0	0	inf	inf
AB0186-Ca	0	0	inf	inf
AB0186-Cb	0	0	inf	inf
AB0187-Ca	0	0	inf	inf
AB0187-Cb	0	0	inf	inf
AB0188-Ca	0	0	inf	inf
AB0188-Cb	0	0	inf	inf
AB0189-Ca	0	0	inf	inf
AB0189-Cb	0	0	inf	inf
AB0190-Ca	0	0	inf	inf
AB0190-Cb	0	0	inf	inf
AB0191-Ca	0	0	inf	inf
AB0191-Cb	0	0	inf	inf
AB0192-Ca	0	0	inf	inf
AB0192-Cb	0	0	inf	inf
AB0195-Ca	0	0	inf	inf
AB0195-Cb	0	0	inf	inf
AB0196-Ca	0	0	inf	inf
AB0196-Cb	0	0	inf	inf
AB0197-Ca	0	0	-4.688957214355469	16.41072654724121
AB0197-Cb	1	1	9.724891662597656	10.947037696838379
AB0198-Ca	1	1	17.314544677734375	27.128807067871094
AB0198-Cb	1	1	11.746390342712402	10.20155143737793
AB0199-Ca	0	0	inf	inf
AB0199-Cb	0	0	inf	inf
AB0200-Ca	0	0	inf	inf
AB0200-Cb	0	0	inf	inf
AB0201-Ca	0	0	inf	inf
AB0201-Cb	0	0	inf	inf
AB0202-Ca	0	0	inf	inf
AB0202-Cb	0	0	inf	inf
AB0203-Ca	0	0	inf	inf
AB0203-Cb	0	0	inf	inf
AB0204-Ca	0	0	inf	inf
AB0204-Cb	0	0	inf	inf
AB0205-Ca	0	0	inf	inf
AB0205-Cb	0	0	inf	inf
AB0206-Ca	0	0	inf	inf
AB0206-Cb	0	0	inf	inf
AB0207-Ca	0	0	inf	inf
AB0207-Cb	0	0	inf	inf
AB0208-Ca	0	0	-3.399466037750244	11.713699340820312
AB0208-Cb	1	1	17.14864730834961	27.2452335357666
AB0209-Ca	0	0	inf	inf
AB0209-Cb	0	0	inf	inf
AB0210-Ca	0	0	inf	inf
AB0210-Cb	0	0	inf	inf
AB0211-Ca	1	1	9.672773361206055	19.351703643798828
AB0211-Cb	1	1	9.351029396057129	19.643495559692383
AB0212-Ca	0	0	inf	inf
AB0212-Cb	0	0	inf	inf
AB0213-Ca	0	0	inf	inf
AB0213-Cb	0	0	inf	inf
AB0215-Ca	0	0	inf	inf
AB0215-Cb	0	0	inf	inf
AB0217-Ca	0	0	-1.6318897008895874	11.671786308288574
AB0217-Cb	1	1	10.23137092590332	22.647445678710938
AB0218-Ca	0	0	inf	inf
AB0218-Cb	0	0	inf	inf
AB0219-Ca	0	0	inf	inf
AB0219-Cb	0	0	inf	inf
AB0221-Ca	0	0	inf	inf
AB0221-Cb	0	0	inf	inf
AB0222-Ca	0	0	inf	inf
AB0222-Cb	0	0	inf	inf
AB0223-Ca	0	0	inf	inf
AB0223-Cb	0	0	inf	inf
AB0224-Ca	0	0	inf	inf
AB0224-Cb	0	0	inf	inf
AB0226-Ca	0	0	inf	inf
AB0226-Cb	0	0	inf	inf
AB0227-Ca	0	0	inf	inf
AB0227-Cb	0	0	inf	inf
AB0228-Ca	0	0	-5.254696369171143	16.81709098815918
AB0228-Cb	1	1	5.2998433113098145	12.3890380859375
AB0229-Ca	0	0	inf	inf
AB0229-Cb	0	0	inf	inf
AB0231-Ca	0	0	inf	inf
AB0231-Cb	0	0	inf	inf
AB0232-Ca	0	0	inf	inf
AB0232-Cb	0	0	inf	inf
AB0233-Ca	0	0	inf	inf
AB0233-Cb	0	0	inf	inf
AB0234-Ca	0	0	inf	inf
AB0234-Cb	0	0	inf	inf
AB0235-Ca	0	0	-3.7998135089874268	12.392084121704102
AB0235-Cb	1	1	4.360860347747803	12.172128677368164
AB0236-Ca	0	0	inf	inf
AB0236-Cb	0	0	inf	inf
AB0237-Ca	0	0	inf	inf
AB0237-Cb	0	0	inf	inf
AB0238-Ca	1	1	18.058956146240234	27.128618240356445
AB0238-Cb	1	1	17.167503356933594	27.10319709777832
AB0239-Ca	0	0	-3.4205875396728516	11.298308372497559
AB0239-Cb	1	1	5.629864692687988	12.12336254119873
AB0240-Ca	0	0	inf	inf
AB0240-Cb	0	0	inf	inf
AB0241-Ca	0	0	-2.4945850372314453	15.046917915344238
AB0241-Cb	0	0	-4.4741291999816895	15.808558464050293
AB0242-Ca	0	0	inf	inf
AB0242-Cb	0	0	inf	inf
AB0243-Ca	0	0	inf	inf
AB0243-Cb	0	0	inf	inf
AB0244-Ca	0	0	inf	inf
AB0244-Cb	0	0	inf	inf
AB0246-Ca	0	0	inf	inf
AB0246-Cb	0	0	inf	inf
AB0247-Ca	0	0	inf	inf
AB0247-Cb	0	0	inf	inf
AB0248-Ca	0	0	inf	inf
AB0248-Cb	0	0	inf	inf
AB0249-Ca	0	0	inf	inf
AB0249-Cb	0	0	inf	inf
AB0250-Ca	0	0	inf	inf
AB0250-Cb	0	0	inf	inf
AB0251-Ca	0	0	inf	inf
AB0251-Cb	0	0	inf	inf
AB0252-Ca	0	0	inf	inf
AB0252-Cb	0	0	inf	inf
AB0253-Ca	0	0	-4.132418155670166	15.123322486877441
AB0253-Cb	1	1	17.340808868408203	27.11833381652832
AB0255-Ca	0	0	inf	inf
AB0255-Cb	0	0	inf	inf
AB0256-Ca	0	0	inf	inf
AB0256-Cb	0	0	inf	inf
AB0257-Ca	0	0	inf	inf
AB0257-Cb	0	0	inf	inf
AB0258-Ca	0	0	inf	inf
AB0258-Cb	0	0	inf	inf
AB0260-Ca	0	0	inf	inf
AB0260-Cb	0	0	inf	inf
AB0261-Ca	0	0	inf	inf
AB0261-Cb	0	0	inf	inf
AB0262-Ca	0	0	inf	inf
AB0262-Cb	0	0	inf	inf
AB0263-Ca	0	0	inf	inf
AB0263-Cb	0	0	inf	inf
AB0264-Ca	0	0	inf	inf
AB0264-Cb	0	0	inf	inf
AB0265-Ca	0	0	inf	inf
AB0265-Cb	0	0	inf	inf
AB0266-Ca	0	0	inf	inf
AB0266-Cb	0	0	inf	inf
AB0267-Ca	0	0	inf	inf
AB0267-Cb	0	0	inf	inf
AB0268-Ca	0	0	inf	inf
AB0268-Cb	0	0	inf	inf
AB0270-Ca	0	0	inf	inf
AB0270-Cb	0	0	inf	inf
AB0271-Ca	0	0	inf	inf
AB0271-Cb	0	0	inf	inf
AB0272-Ca	0	0	inf	inf
AB0272-Cb	0	0	inf	inf
AB0273-Ca	0	0	inf	inf
AB0273-Cb	0	0	inf	inf
AB0274-Ca	0	0	-3.655313730239868	12.271269798278809
AB0274-Cb	1	1	4.284999847412109	12.073966979980469
AB0275-Ca	0	0	inf	inf
AB0275-Cb	0	0	inf	inf
AB0276-Ca	0	0	inf	inf
AB0276-Cb	0	0	inf	inf
AB0277-Ca	0	0	inf	inf
AB0277-Cb	0	0	inf	inf
AB0278-Ca	0	0	inf	inf
AB0278-Cb	0	0	inf	inf
AB0279-Ca	1	1	17.647151947021484	26.92734718322754
AB0279-Cb	0	0	-4.68239688873291	15.51630973815918
AB0280-Ca	0	0	inf	inf
AB0280-Cb	0	0	inf	inf
AB0281-Ca	0	0	inf	inf
AB0281-Cb	0	0	inf	inf
AB0282-Ca	0	0	inf	inf
AB0282-Cb	0	0	inf	inf
AB0283-Ca	0	0	inf	inf
AB0283-Cb	0	0	inf	inf
AB0284-Ca	1	1	4.973505020141602	13.205838203430176
