Serial	Country	Year	Location	Ace1_G119S	GPS_coordinates	Collection_date	Contact	Method	CollectionID	phenotypic_bioassay_date	phenotypic_bioassay_method	Insecticide	Concentration_x	Concentration_percentage	Exposure_min	Plate_name	Plate_code	Sample_ID	phenotype	DNA_extraction_method	DNA_extraction_date	DNA_conc_ngul	DNA_100ul	Species	species_id_method	PlateNo	Well	HEX_Ct_dR	FAM_Ct_dR	HEX_dR_last	Threshold_HEX_dR	FAM_dR_last	Threshold_FAM_dR	FAM_Ct-HEX_Ct
594	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D32	Dead	nexttec_1_step	18/04/20			col	New SINE	9	H4	24.56	NA	2781.25	152.007	218.984	1097.343	NA
595	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D33	Dead	nexttec_1_step	18/04/20			col	New SINE	9	A5	24.39	NA	2931.543	152.007	256.29	1097.343	NA
596	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D34	Dead	nexttec_1_step	18/04/20			col	New SINE	9	B5	24.74	NA	2748.91	152.007	266.114	1097.343	NA
597	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D35	Dead	nexttec_1_step	18/04/20			col	New SINE	9	C5	24.39	28.37	2177.854	152.007	5133.021	1097.343	3.98
598	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D36	Dead	nexttec_1_step	18/04/20			col	New SINE	9	D5	24.72	27.95	2433.748	152.007	6682.409	1097.343	3.23
599	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D37	Dead	nexttec_1_step	18/04/20			col	New SINE	9	E5	24.56	28.74	2000.583	152.007	4813.461	1097.343	4.18
600	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D38	Dead	nexttec_1_step	18/04/20			col	New SINE	9	F5	25.22	NA	2645.034	152.007	263.849	1097.343	NA
601	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D39	Dead	nexttec_1_step	18/04/20			col	New SINE	9	G5	24.85	28.74	1986.735	152.007	5006.838	1097.343	3.89
602	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D40	Dead	nexttec_1_step	18/04/20			col	New SINE	9	H5	24.55	NA	2911.83	152.007	215.797	1097.343	NA
603	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D41	Dead	nexttec_1_step	18/04/20			col	New SINE	9	A6	25.86	NA	1815.94	152.007	187.62	1097.343	NA
604	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D42	Dead	nexttec_1_step	18/04/20			col	New SINE	9	B6	24.19	NA	5111.859	152.007	366.933	1097.343	NA
605	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D43	Dead	nexttec_1_step	18/04/20			col	New SINE	9	C6	24.43	NA	3041.995	152.007	213.025	1097.343	NA
606	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D44	Dead	nexttec_1_step	18/04/20			col	New SINE	9	D6	24.61	NA	2840.042	152.007	108.384	1097.343	NA
607	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D45	Dead	nexttec_1_step	18/04/20			NA	New SINE	9	E6	24.59	NA	2912.728	152.007	203.898	1097.343	NA
608	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D46	Dead	nexttec_1_step	18/04/20			col	New SINE	9	F6	24.64	26.85	1813.921	152.007	6568.601	1097.343	2.21
609	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D47	Dead	nexttec_1_step	18/04/20			col	New SINE	9	G6	24.75	NA	2716.257	152.007	257.4	1097.343	NA
610	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D48	Dead	nexttec_1_step	18/04/20			col	New SINE	9	H6	26.61	NA	2292.179	152.007	434.366	1097.343	NA
611	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D49	Dead	nexttec_1_step	18/04/20			gamcol	New SINE	9	A7	29.56	33.38	1575.136	152.007	3417.873	1097.343	3.82
612	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D50	Dead	nexttec_1_step	18/04/20			col	New SINE	9	B7	25.13	NA	3117.871	152.007	238.904	1097.343	NA
613	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D51	Dead	nexttec_1_step	18/04/20			col	New SINE	9	C7	25.36	NA	2763.628	152.007	304.154	1097.343	NA
614	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D52	Dead	nexttec_1_step	18/04/20			col	New SINE	9	D7	26.13	27.21	1406.424	152.007	6913.724	1097.343	1.08
615	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D53	Dead	nexttec_1_step	18/04/20			col	New SINE	9	E7	27.51	26.92	1035.948	152.007	7811.296	1097.343	-0.59
616	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D54	Dead	nexttec_1_step	18/04/20			col	New SINE	9	F7	25.49	NA	2931.24	152.007	235.717	1097.343	NA
617	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D55	Dead	nexttec_1_step	18/04/20			col	New SINE	9	G7	24.85	NA	2339.247	152.007	185.696	1097.343	NA
618	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D56	Dead	nexttec_1_step	18/04/20			col	New SINE	9	H7	24.54	NA	3217.979	152.007	261.677	1097.343	NA
619	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D57	Dead	nexttec_1_step	18/04/20			gam	New SINE	9	A8	26.81	27.07	1161.075	152.007	7382.067	1097.343	0.260000000000002
620	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D58	Dead	nexttec_1_step	18/04/20			col	New SINE	9	B8	28.61	NA	2343.963	152.007	350.055	1097.343	NA
621	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D59	Dead	nexttec_1_step	18/04/20			col	New SINE	9	C8	25.23	NA	2826.215	152.007	254.603	1097.343	NA
622	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D60	Dead	nexttec_1_step	18/04/20			col	New SINE	9	D8	27.36	28.59	1347.86	152.007	6467.332	1097.343	1.23
623	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D61	Dead	nexttec_1_step	18/04/20			gam	New SINE	9	E8	24.8	NA	2847.709	152.007	198.641	1097.343	NA
624	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D62	Dead	nexttec_1_step	18/04/20			gamcol	New SINE	9	F8	24.15	NA	3032.542	152.007	221.374	1097.343	NA
625	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D63	Dead	nexttec_1_step	18/04/20			gam	New SINE	9	G8	24.06	NA	2983.187	152.007	173.347	1097.343	NA
626	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D64	Dead	nexttec_1_step	18/04/20			col	New SINE	9	H8	25.02	NA	2944.309	152.007	280.467	1097.343	NA
627	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D65	Dead	nexttec_1_step	18/04/20			col	New SINE	9	A9	25.44	NA	2387.222	152.007	197.474	1097.343	NA
628	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D66	Dead	nexttec_1_step	18/04/20			col	New SINE	9	B9	27.61	28.51	1250.207	152.007	6434.276	1097.343	0.900000000000002
629	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D67	Dead	nexttec_1_step	18/04/20			col	New SINE	9	C9	24.5	28.04	2019.099	152.007	5233.402	1097.343	3.54
630	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D68	Dead	nexttec_1_step	18/04/20			col	New SINE	9	D9	25.01	NA	3332.471	152.007	297.977	1097.343	NA
631	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D69	Dead	nexttec_1_step	18/04/20			gam	New SINE	9	E9	24.6	NA	2451.989	152.007	148.857	1097.343	NA
632	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D70	Dead	nexttec_1_step	18/04/20			gam	New SINE	9	F9	23.99	NA	3098.01	152.007	263.147	1097.343	NA
633	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D71	Dead	nexttec_1_step	18/04/20			col	New SINE	9	G9	25.73	25.96	1384.314	152.007	8603.201	1097.343	0.23
634	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D72	Dead	nexttec_1_step	18/04/20			gam	New SINE	9	H9	24.38	NA	3070.114	152.007	350.526	1097.343	NA
635	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D73	Dead	nexttec_1_step	18/04/20			col	New SINE	9	A10	23.65	25.97	2052.388	152.007	7401.653	1097.343	2.32
636	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D74	Dead	nexttec_1_step	18/04/20			col	New SINE	9	B10	23.96	26.35	1953.56	152.007	6772.497	1097.343	2.39
637	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D75	Dead	nexttec_1_step	18/04/20			col	New SINE	9	C10	24.84	NA	2872.154	152.007	255.295	1097.343	NA
638	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D76	Dead	nexttec_1_step	18/04/20			col	New SINE	9	D10	24.4	NA	3098.314	152.007	233.39	1097.343	NA
639	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D77	Dead	nexttec_1_step	18/04/20			col	New SINE	9	E10	24.47	NA	3117.598	152.007	262.355	1097.343	NA
640	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D78	Dead	nexttec_1_step	18/04/20			col	New SINE	9	F10	25.62	NA	3089.495	152.007	351.013	1097.343	NA
641	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D79	Dead	nexttec_1_step	18/04/20			col	New SINE	9	G10	27.34	29.55	1708.179	152.007	5958.291	1097.343	2.21
642	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D80	Dead	nexttec_1_step	18/04/20			col	New SINE	9	H10	25.01	NA	2695.826	152.007	275.783	1097.343	NA
643	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D81	Dead	nexttec_1_step	18/04/20			col	New SINE	9	A11	23	NA	3690.305	152.007	372.814	1097.343	NA
644	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D82	Dead	nexttec_1_step	18/04/20			col	New SINE	9	B11	23.89	27.71	1955.641	152.007	4951.743	1097.343	3.82
645	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D83	Dead	nexttec_1_step	18/04/20			col	New SINE	9	C11	23.64	27.75	1964.372	152.007	4905.774	1097.343	4.11
646	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D84	Dead	nexttec_1_step	18/04/20			col	New SINE	9	D11	24.01	NA	2650.831	152.007	418.896	1097.343	NA
647	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D85	Dead	nexttec_1_step	18/04/20			col	New SINE	9	E11	23.84	NA	2922.968	152.007	182.593	1097.343	NA
648	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D86	Dead	nexttec_1_step	18/04/20			col	New SINE	9	F11	25.91	26.51	1281.568	152.007	6709.607	1097.343	0.600000000000001
649	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D87	Dead	nexttec_1_step	18/04/20			col	New SINE	9	G11	23.94	26.76	1654.213	152.007	5818.963	1097.343	2.82
650	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D88	Dead	nexttec_1_step	18/04/20			col	New SINE	9	H11	22.45	25.79	3574.891	152.007	8885.026	1097.343	3.34
651	Ghana	2017	Weija	NA	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D89	Dead	nexttec_1_step	18/04/20			col	New SINE									
652	Ghana	2017	Weija	NA	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D90	Dead	nexttec_1_step	18/04/20			col	New SINE									
653	Ghana	2017	Weija	NA	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D91	Dead	nexttec_1_step	18/04/20			col	New SINE									
654	Ghana	2017	Weija	NA	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D92	Dead	nexttec_1_step	18/04/20			col	New SINE									
655	Ghana	2017	Weija	NA	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D93	Dead	nexttec_1_step	18/04/20			col	New SINE									
656	Ghana	2017	Weija	NA	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D94	Dead	nexttec_1_step	18/04/20			NA	New SINE									
657	Ghana	2017	Weija	NA	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D95	Dead	nexttec_1_step	18/04/20			col	New SINE									
658	Ghana	2017	Weija	NA	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate9	423 7231 17 009	GH17WEIPme_D96	Dead	nexttec_1_step	18/04/20			col	New SINE									
659	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_D97	Dead	nexttec_1_step	18/04/20			col	New SINE	10	A1	27.94	28.01	1207.742	166.348	4456.726	566.967	0.07
660	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_D98	Dead	nexttec_1_step	18/04/20			col	New SINE	10	B1	25.91	NA	2506.034	166.348	239.615	566.967	NA
661	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_D99	Dead	nexttec_1_step	18/04/20			col	New SINE	10	C1	24.55	26.42	1986.862	166.348	5023.147	566.967	1.87
662	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_D100	Dead	nexttec_1_step	18/04/20			col	New SINE	10	D1	30.68	32.73	1279.569	166.348	2428.644	566.967	2.05
663	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_D101	Dead	nexttec_1_step	18/04/20			col	New SINE	10	E1	27.44	25.31	1042.525	166.348	6801.567	566.967	-2.13
664	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_D102	Dead	nexttec_1_step	18/04/20			col	New SINE	10	F1	26.05	26.81	1396.726	166.348	4808.676	566.967	0.759999999999998
665	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_D103	Dead	nexttec_1_step	18/04/20			col	New SINE	10	G1	26.09	28.07	1611.87	166.348	4168.507	566.967	1.98
666	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_D104	Dead	nexttec_1_step	18/04/20			gam	New SINE	10	H1	25.92	33.68	2096.903	166.348	1284.552	566.967	7.76
667	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	1x	0.25	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_A01	Alive	nexttec_1_step	18/04/20			col	New SINE	10	A2	25.82	23.64	955.31	166.348	6996.401	566.967	-2.18
668	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	1x	0.25	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_A02	Alive	nexttec_1_step	18/04/20			col	New SINE	10	B2	29.38	27.77	928.684	166.348	5747.979	566.967	-1.61
669	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_A03	Alive	nexttec_1_step	18/04/20			col	New SINE	10	C2	23.41	NA	3256.335	166.348	182.452	566.967	NA
670	Ghana	2017	Weija	GG	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_A04	Alive	nexttec_1_step	18/04/20			col	New SINE	10	D2	23.73	NA	2749.417	166.348	197.976	566.967	NA
671	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_A05	Alive	nexttec_1_step	18/04/20			col	New SINE	10	E2	24.19	26.03	1776.835	166.348	4778.478	566.967	1.84
672	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_A06	Alive	nexttec_1_step	18/04/20			col	New SINE	10	F2	24.6	25.87	1534.989	166.348	4521.873	566.967	1.27
673	Ghana	2017	Weija	SS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_A07	Alive	nexttec_1_step	18/04/20			NA	New SINE	10	G2	28.99	23.98	486.123	166.348	5708.18	566.967	-5.01
674	Ghana	2017	Weija	GS	05 33 59N 0 20 0W		Samuel Dadzie	Larvae		28.11.2017	Tube	Pirimiphos-methyl	0.5x	0.125	60	GH2017_Plate10	423 7231 17 010	GH17WEIPme_A08	Alive	nexttec_1_step	18/04/20			col	New SINE	10	H2	24.76	26.94	1870.636	166.348	4444.549	566.967	2.18
